# Time	U	V	U_magnitude
79.4	-0.0640002	0.0304248	0.0708639
79.6	-0.0634191	0.0325249	0.0712731
79.8	-0.062711	0.0345827	0.0716145
80	-0.0618796	0.0365903	0.0718883
80.2	-0.0609288	0.0385401	0.0720948
80.4	-0.0598633	0.0404251	0.0722343
80.6	-0.0586881	0.0422386	0.0723077
80.8	-0.057409	0.0439746	0.0723157
81	-0.056032	0.0456273	0.0722595
81.2	-0.0545634	0.0471918	0.0721404
81.4	-0.05301	0.0486636	0.0719598
81.6	-0.0513785	0.0500389	0.0717192
81.8	-0.0496761	0.0513143	0.0714204
82	-0.0479097	0.0524873	0.0710651
82.2	-0.0460863	0.0535557	0.0706553
82.4	-0.044213	0.0545181	0.0701927
82.6	-0.0422965	0.0553733	0.0696792
82.8	-0.0403433	0.0561208	0.0691167
83	-0.0383597	0.0567602	0.0685069
83.2	-0.0363518	0.0572917	0.0678513
83.4	-0.0343253	0.0577156	0.0671515
83.6	-0.0322856	0.0580325	0.0664089
83.8	-0.0302379	0.058243	0.0656245
84	-0.0281868	0.058348	0.0647996
84.2	-0.026137	0.0583482	0.0639348
84.4	-0.0240927	0.0582446	0.0630309
84.6	-0.0220581	0.058038	0.0620883
84.8	-0.0200369	0.0577291	0.0611075
85	-0.0180331	0.0573187	0.0600885
85.2	-0.0160504	0.0568076	0.0590315
85.4	-0.0140924	0.0561962	0.0579362
85.6	-0.012163	0.0554851	0.0568026
85.8	-0.0102659	0.0546748	0.0556302
86	-0.00840524	0.0537658	0.0544188
86.2	-0.00658525	0.0527584	0.0531678
86.4	-0.00481048	0.0516532	0.0518767
86.6	-0.00308582	0.0504509	0.0505451
86.8	-0.00141659	0.0491521	0.0491725
87	0.000191425	0.0477579	0.0477583
87.2	0.00173196	0.0462695	0.0463019
87.4	0.00319946	0.0446887	0.0448031
87.6	0.00458769	0.0430174	0.0432614
87.8	0.00589042	0.041258	0.0416764
88	0.00710134	0.0394136	0.0400482
88.2	0.00821349	0.0374877	0.0383769
88.4	0.00922068	0.0354843	0.0366628
88.6	0.0101158	0.0334085	0.0349064
88.8	0.0108928	0.0312656	0.0331088
89	0.0115449	0.029062	0.0312711
89.2	0.0120664	0.0268046	0.0293953
89.4	0.0124516	0.024501	0.0274835
89.6	0.012695	0.0221597	0.0255385
89.8	0.0127924	0.0197898	0.0235644
90	0.01274	0.0174012	0.0215664
90.2	0.0125348	0.0150041	0.019551
90.4	0.0121745	0.0126096	0.0175277
90.6	0.0116582	0.0102292	0.0155097
90.8	0.0109859	0.00787502	0.0135168
91	0.0101585	0.0055596	0.0115803
91.2	0.00917857	0.0032959	0.00975239
91.4	0.00804967	0.00109741	0.00812413
91.6	0.00677655	-0.00102266	0.00685329
91.8	0.0053652	-0.00305182	0.00617243
92	0.00382251	-0.00498006	0.00627794
92.2	0.00215639	-0.00679805	0.00713187
92.4	0.000375891	-0.00849705	0.00850537
92.6	-0.00150841	-0.0100689	0.0101813
92.8	-0.00348587	-0.0115062	0.0120227
93	-0.00554637	-0.0128025	0.0139523
93.2	-0.0076795	-0.0139522	0.015926
93.4	-0.00987452	-0.0149503	0.017917
93.6	-0.0121207	-0.0157926	0.0199077
93.8	-0.014407	-0.0164759	0.0218864
94	-0.0167224	-0.0169972	0.0238442
94.2	-0.0190559	-0.0173549	0.0257744
94.4	-0.0213963	-0.0175478	0.0276718
94.6	-0.0237326	-0.0175756	0.0295319
94.8	-0.0260535	-0.0174386	0.0313511
95	-0.0283482	-0.017138	0.033126
95.2	-0.0306056	-0.016676	0.0348539
95.4	-0.0328152	-0.0160552	0.0365322
95.6	-0.0349663	-0.0152795	0.0381589
95.8	-0.0370487	-0.0143533	0.0397319
96	-0.0390525	-0.0132819	0.0412493
96.2	-0.0409681	-0.0120716	0.0427095
96.4	-0.0427864	-0.0107293	0.0441112
96.6	-0.0444989	-0.00926284	0.0454527
96.8	-0.0460975	-0.00768079	0.046733
97	-0.0475748	-0.00599242	0.0479507
97.2	-0.0489242	-0.00420769	0.0491048
97.4	-0.0501396	-0.00233726	0.0501941
97.6	-0.0512161	-0.000392622	0.0512176
97.8	-0.0521494	0.00161356	0.0521744
98	-0.0529363	0.00366874	0.0530632
98.2	-0.0535743	0.00576086	0.0538832
98.4	-0.0540624	0.00787786	0.0546333
98.6	-0.0544001	0.0100077	0.055313
98.8	-0.0545884	0.0121387	0.0559217
99	-0.054629	0.0142593	0.0564593
99.2	-0.0545248	0.0163583	0.0569258
99.4	-0.0542797	0.0184251	0.0573217
99.6	-0.0538985	0.0204498	0.0576475
99.8	-0.0533867	0.0224229	0.0579044
100	-0.0527508	0.0243359	0.0580938
100.2	-0.051998	0.0261811	0.0582172
100.4	-0.051136	0.0279516	0.0582768
100.6	-0.0501729	0.0296418	0.0582749
100.8	-0.0491175	0.0312468	0.0582142
101	-0.0479783	0.032763	0.0580976
101.2	-0.0467643	0.0341875	0.0579283
101.4	-0.0454841	0.0355189	0.0577095
101.6	-0.0441462	0.0367561	0.0574447
101.8	-0.0427587	0.0378994	0.0571373
102	-0.0413292	0.0389496	0.0567907
102.2	-0.0398647	0.0399082	0.0564079
102.4	-0.0383714	0.0407769	0.0559921
102.6	-0.0368549	0.0415582	0.055546
102.8	-0.03532	0.0422544	0.0550721
103	-0.0337707	0.0428681	0.0545723
103.2	-0.0322104	0.0434018	0.0540484
103.4	-0.0306417	0.0438578	0.0535016
103.6	-0.0290668	0.044238	0.0529328
103.8	-0.0274872	0.044544	0.0523423
104	-0.0259042	0.044777	0.0517301
104.2	-0.0243185	0.0449376	0.0510958
104.4	-0.022731	0.0450261	0.0504386
104.6	-0.0211421	0.0450421	0.0497572
104.8	-0.0195525	0.0449845	0.04905
105	-0.0179631	0.0448518	0.0483152
105.2	-0.0163749	0.0446422	0.0475507
105.4	-0.0147895	0.0443532	0.046754
105.6	-0.0132088	0.0439819	0.0459226
105.8	-0.0116357	0.0435254	0.0450539
106	-0.0100734	0.0429804	0.0441451
106.2	-0.00852621	0.0423437	0.0431936
106.4	-0.00699906	0.0416122	0.0421967
106.6	-0.00549782	0.0407832	0.0411521
106.8	-0.00402914	0.0398542	0.0400573
107	-0.0026004	0.0388235	0.0389105
107.2	-0.0012198	0.03769	0.0377097
107.4	0.000103778	0.0364536	0.0364538
107.6	0.00136106	0.0351152	0.0351416
107.8	0.0025431	0.0336768	0.0337727
108	0.00364008	0.0321409	0.0323464
108.2	0.00464331	0.0305118	0.0308631
108.4	0.00554345	0.028795	0.0293237
