"Points_Y","velocity_X"
0.963,0.550536
0.964,0.561234
0.965,0.571932
0.966,0.582631
0.967,0.593329
0.968,0.604027
0.969,0.614745
0.97,0.628096
0.971,0.641446
0.972,0.654797
0.973,0.668147
0.974,0.681498
0.975,0.694849
0.976,0.708199
0.977,0.722122
0.978,0.737712
0.979,0.753303
0.98,0.768894
0.981,0.784484
0.982,0.800074
0.983,0.815664
0.984,0.831255
0.985,0.847416
0.986,0.864138
0.987,0.880861
0.988,0.897583
0.989,0.914307
0.99,0.931029
0.991,0.947752
0.992,0.964474
0.993,nan
0.994,nan
0.995,nan
0.996,nan
0.997,nan
0.998,nan
0.999,nan
1,nan
