"velocity_X","Points_Y"
0.115798,0.709615
0.116509,0.710613
0.117221,0.711611
0.117936,0.712609
0.118653,0.713607
0.11937,0.714605
0.120087,0.715603
0.120808,0.716601
0.121531,0.717599
0.122254,0.718597
0.122977,0.719595
0.123705,0.720593
0.124433,0.721591
0.125162,0.722589
0.125891,0.723588
0.126625,0.724586
0.12736,0.725584
0.128094,0.726582
0.128829,0.72758
0.12957,0.728578
0.130311,0.729576
0.131052,0.730574
0.131793,0.731572
0.132541,0.73257
0.133288,0.733568
0.134035,0.734566
0.134784,0.735564
0.135537,0.736562
0.136291,0.73756
0.137044,0.738558
0.1378,0.739556
0.13856,0.740554
0.13932,0.741553
0.14008,0.742551
0.140843,0.743549
0.14161,0.744547
0.142377,0.745545
0.143143,0.746543
0.143914,0.747541
0.144687,0.748539
0.145461,0.749537
0.146235,0.750535
0.147012,0.751533
0.147793,0.752531
0.148574,0.753529
0.149355,0.754527
0.15014,0.755525
0.150928,0.756523
0.151716,0.757521
0.152504,0.758519
0.153297,0.759517
0.154093,0.760516
0.154888,0.761514
0.155683,0.762512
0.156485,0.76351
0.157288,0.764508
0.158091,0.765506
0.158893,0.766504
0.159704,0.767502
0.160514,0.7685
0.161325,0.769498
0.162136,0.770496
0.162955,0.771494
0.163774,0.772492
0.164593,0.77349
0.165413,0.774488
0.16624,0.775486
0.167066,0.776484
0.167893,0.777482
0.168722,0.77848
0.169558,0.779478
0.170394,0.780477
0.171229,0.781475
0.172068,0.782473
0.172913,0.783471
0.173757,0.784469
0.174601,0.785467
0.17545,0.786465
0.176303,0.787463
0.177157,0.788461
0.178011,0.789459
0.17887,0.790457
0.179733,0.791455
0.180596,0.792453
0.18146,0.793451
0.18233,0.794449
0.183203,0.795447
0.184076,0.796445
0.184949,0.797443
0.185831,0.798441
0.186714,0.799439
0.187598,0.800438
0.188482,0.801436
0.189375,0.802434
0.190269,0.803432
0.191163,0.80443
0.192058,0.805428
0.192963,0.806426
0.193869,0.807424
0.194774,0.808422
0.195681,0.80942
0.196598,0.810418
0.197516,0.811416
0.198433,0.812414
0.199352,0.813412
0.200282,0.81441
