# Time	U	V	U_magnitude
52.8	-0.0498693	0.0332174	0.0599195
53	-0.0503924	0.0334294	0.0604724
53.2	-0.0508907	0.0336631	0.061017
53.4	-0.0513647	0.0339181	0.061553
53.6	-0.0518142	0.0341939	0.0620801
53.8	-0.0522388	0.0344899	0.0625975
54	-0.0526372	0.034805	0.0631036
54.2	-0.0530084	0.0351379	0.0635969
54.4	-0.0533521	0.0354874	0.0640765
54.6	-0.0536684	0.0358529	0.0645424
54.8	-0.0539575	0.0362339	0.0649946
55	-0.054219	0.0366296	0.0654326
55.2	-0.0544522	0.037039	0.0658554
55.4	-0.0546563	0.0374607	0.0662617
55.6	-0.0548308	0.0378935	0.0666509
55.8	-0.0549759	0.0383364	0.0670227
56	-0.0550919	0.0387888	0.0673772
56.2	-0.0551787	0.0392497	0.0677143
56.4	-0.0552358	0.0397182	0.0680333
56.6	-0.0552627	0.040193	0.0683333
56.8	-0.0552591	0.0406727	0.0686137
57	-0.0552251	0.0411562	0.0688741
57.2	-0.0551611	0.0416424	0.0691147
57.4	-0.0550673	0.0421306	0.0693354
57.6	-0.0549436	0.0426197	0.0695359
57.8	-0.0547896	0.0431085	0.0697154
58	-0.0546053	0.0435954	0.0698734
58.2	-0.0543908	0.0440792	0.0700096
58.4	-0.0541467	0.0445588	0.0701238
58.6	-0.0538734	0.0450333	0.0702164
58.8	-0.053571	0.0455017	0.070287
59	-0.0532396	0.0459627	0.0703351
59.2	-0.0528794	0.0464147	0.0703602
59.4	-0.0524906	0.0468565	0.0703619
59.6	-0.0520739	0.0472869	0.0703403
59.8	-0.0516301	0.047705	0.0702953
60	-0.0511596	0.0481097	0.0702271
60.2	-0.0506628	0.0484997	0.0701351
60.4	-0.05014	0.0488738	0.070019
60.6	-0.0495919	0.0492305	0.0698785
60.8	-0.0490194	0.0495688	0.0697135
61	-0.0484234	0.0498876	0.0695241
61.2	-0.0478046	0.050186	0.0693103
61.4	-0.0471639	0.0504629	0.069072
61.6	-0.046502	0.0507171	0.0688089
61.8	-0.0458197	0.0509474	0.0685207
62	-0.0451182	0.0511527	0.0682074
62.2	-0.0443985	0.0513322	0.0678691
62.4	-0.043662	0.051485	0.0675061
62.6	-0.0429096	0.0516104	0.0671183
62.8	-0.0421425	0.0517072	0.0667055
63	-0.0413618	0.0517746	0.0662677
63.2	-0.0405688	0.0518117	0.0658048
63.4	-0.0397649	0.0518178	0.0653172
63.6	-0.0389517	0.0517925	0.0648051
63.8	-0.0381306	0.0517351	0.0642687
64	-0.0373029	0.0516451	0.0637081
64.2	-0.03647	0.0515217	0.0631233
64.4	-0.0356334	0.0513647	0.0625146
64.6	-0.0347949	0.0511735	0.0618822
64.8	-0.0339561	0.0509481	0.0612268
65	-0.0331186	0.0506882	0.0605486
65.2	-0.0322841	0.0503938	0.0598481
65.4	-0.0314541	0.0500646	0.0591255
65.6	-0.0306303	0.0497006	0.0583812
65.8	-0.0298145	0.0493018	0.0576158
66	-0.0290085	0.0488686	0.0568299
66.2	-0.0282139	0.0484013	0.0560242
66.4	-0.0274325	0.0479003	0.0551995
66.6	-0.026666	0.0473658	0.0543562
66.8	-0.025916	0.0467984	0.0534951
67	-0.0251842	0.0461987	0.0526171
67.2	-0.0244725	0.0455673	0.0517231
67.4	-0.0237825	0.0449052	0.0508142
67.6	-0.0231158	0.0442133	0.0498914
67.8	-0.022474	0.0434924	0.0489558
68	-0.0218587	0.0427435	0.0480084
68.2	-0.0212714	0.0419678	0.0470507
68.4	-0.0207135	0.0411665	0.046084
68.6	-0.0201866	0.040341	0.0451098
68.8	-0.0196921	0.0394926	0.0441298
69	-0.0192313	0.0386228	0.0431458
69.2	-0.0188053	0.0377331	0.0421595
69.4	-0.0184153	0.036825	0.0411729
69.6	-0.0180624	0.0359003	0.0401881
69.8	-0.0177479	0.0349607	0.0392077
70	-0.0174726	0.0340082	0.0382341
70.2	-0.0172373	0.0330444	0.0372701
70.4	-0.0170429	0.0320715	0.0363186
70.6	-0.0168899	0.0310912	0.0353827
70.8	-0.0167789	0.0301058	0.0344658
